Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
06-08-2024 14:00,OYAKC,72.0,73.75,71.95,73.65,1111105.0,0.1,1.65,0.22,650.0,1.65,644652.4,72.36,True,0,,68.8,76.3,True,False
06-08-2024 14:00,TATEN,35.38,37.3,35.36,37.18,1930696.0,0.12,1.8,0.24,643.8,1.8,576923.5,234.65,True,0,,33.44,38.16,False,False
06-08-2024 13:00,GOKNR,32.88,33.64,32.86,33.52,821740.0,0.12,0.64,0.12,424.59,0.64,476998.6,72.27,True,0,,31.62,34.3,False,False
06-08-2024 13:00,DITAS,24.08,25.18,24.02,25.0,438540.0,0.18,0.92,0.13,607.69,0.92,182651.6,140.1,True,0,,23.14,27.5,True,True
06-08-2024 13:00,PLTUR,24.9,25.86,24.86,25.8,639242.0,0.06,0.9,0.14,525.0,0.9,307254.1,108.05,True,0,,23.18,25.96,False,False
06-08-2024 13:00,BMSTL,50.0,51.25,49.94,50.9,267323.0,0.35,0.9,0.13,576.69,0.9,115096.2,132.26,True,1,51.25,49.0,51.25,False,False
06-08-2024 13:00,TUREX,76.05,78.55,76.05,77.9,111597.0,0.65,1.85,0.28,560.71,1.85,70752.9,57.73,True,0,,69.85,79.4,False,False
06-08-2024 12:00,EUREN,14.86,15.25,14.85,15.22,11182177.0,0.03,0.36,0.05,665.96,0.36,2094879.1,433.79,True,0,,13.83,15.79,False,False
06-08-2024 12:00,MHRGY,4.6,4.71,4.58,4.7,1200305.0,0.01,0.1,0.01,1566.67,0.1,620234.3,93.52,True,0,,4.36,4.86,False,False
06-08-2024 11:00,HEKTS,11.58,11.81,11.56,11.77,5692647.0,0.04,0.19,0.0,6233.33,0.19,3427490.6,66.09,True,0,,11.12,12.54,True,False
06-08-2024 11:00,AFYON,14.44,14.99,14.42,14.84,2490511.0,0.15,0.4,0.06,614.29,0.4,844970.9,194.75,True,0,,12.93,14.9,False,False
06-08-2024 10:00,MEPET,10.05,10.23,10.0,10.2,239672.0,0.03,0.15,0.0,14900.0,0.15,111616.1,114.73,True,0,,9.53,10.77,False,False
06-08-2024 10:00,ALVES,47.2,49.62,47.02,49.24,3013704.0,0.38,2.04,0.06,3190.32,2.04,784942.4,283.94,True,0,,45.44,56.55,True,True
06-08-2024 10:00,AGROT,18.56,19.69,18.48,19.69,25070264.0,0.0,1.13,0.07,1638.46,1.13,6528275.8,284.03,True,1,19.69,17.4,20.8,True,False
06-08-2024 10:00,FONET,20.4,22.06,20.4,22.06,7781774.0,0.0,1.66,0.06,2493.75,1.66,1807684.4,330.48,True,1,22.06,20.06,25.8,True,True
06-08-2024 10:00,LOGO,114.0,119.6,112.0,118.8,305461.0,0.8,4.8,0.51,841.18,4.8,95275.5,220.61,True,1,119.6,108.0,119.6,False,False
06-08-2024 10:00,MANAS,12.6,13.34,12.36,13.26,4423170.0,0.08,0.66,0.03,2438.46,0.66,797529.0,454.61,True,1,13.34,11.89,13.34,True,False
06-08-2024 10:00,DENGE,6.58,7.08,6.58,6.95,3387353.0,0.13,0.37,0.03,1056.25,0.37,1200884.5,182.07,True,1,7.08,6.24,7.08,False,False
06-08-2024 10:00,BLCYT,22.58,23.4,22.58,23.34,364577.0,0.06,0.76,0.05,1307.41,0.76,181483.0,100.89,True,0,,21.72,24.78,False,False
06-08-2024 10:00,GRTRK,75.85,80.45,75.85,79.45,277358.0,1.0,3.6,0.23,1500.0,3.6,76855.6,260.88,True,0,,71.75,83.6,False,False
06-08-2024 10:00,AYDEM,28.84,29.66,28.7,29.58,808279.0,0.08,0.74,0.06,1056.25,0.74,270693.8,198.6,True,1,29.66,27.3,29.66,False,False
06-08-2024 10:00,BIGCH,31.9,32.6,31.5,32.56,274283.0,0.04,0.66,0.02,4025.0,0.66,118297.8,131.86,True,1,32.6,30.78,32.6,False,False
06-08-2024 10:00,BEGYO,3.61,3.75,3.61,3.72,1960264.0,0.03,0.11,0.0,5400.0,0.11,941837.2,108.13,True,1,3.75,3.49,3.75,True,True
05-08-2024 17:00,ALFAS,62.25,66.05,62.05,66.05,404866.0,0.0,3.8,0.3,1145.9,3.8,265933.5,52.24,True,0,,61.3,69.0,True,True
05-08-2024 17:00,PAPIL,135.3,145.6,135.3,143.4,491696.0,2.2,8.1,1.3,523.08,8.1,131258.3,274.6,True,0,,128.8,150.9,True,True
05-08-2024 17:00,EPLAS,6.6,7.01,6.53,6.91,2686823.0,0.1,0.31,0.02,1837.5,0.31,693365.3,287.5,True,0,,6.46,7.13,False,False
05-08-2024 17:00,ENJSA,63.55,65.4,63.5,65.3,1531759.0,0.1,1.75,0.3,483.33,1.75,580053.3,164.07,True,0,,62.0,71.8,True,False
05-08-2024 16:00,EDATA,16.45,17.61,16.4,17.41,458684.0,0.2,0.96,0.13,632.82,0.96,214686.3,113.65,True,0,,16.13,19.21,True,True
05-08-2024 16:00,NETAS,60.6,63.45,60.4,63.25,276468.0,0.2,2.65,0.1,2423.81,2.65,115551.6,139.26,True,0,,60.15,71.15,False,False
05-08-2024 16:00,MTRKS,42.66,46.02,42.36,45.18,244745.0,0.84,2.52,0.18,1269.57,2.52,109478.4,123.56,True,2,42.36,42.36,48.34,False,False
05-08-2024 16:00,MERKO,9.93,10.23,9.92,10.21,229941.0,0.02,0.28,0.01,3400.0,0.28,143290.0,60.47,True,0,,9.81,11.19,False,False
05-08-2024 16:00,SURGY,56.25,58.0,55.95,57.95,821341.0,0.05,1.7,0.43,295.35,1.7,379765.2,116.28,True,0,,52.65,59.45,False,False
05-08-2024 13:00,BJKAS,6.27,6.53,6.23,6.46,20662589.0,0.07,0.19,0.01,1627.27,0.19,7811484.6,164.52,True,0,,5.82,ATH,False,False
05-08-2024 11:00,FORMT,3.29,3.36,3.22,3.35,7390870.0,0.01,0.06,0.0,1900.0,0.06,2120979.4,248.46,True,0,,3.21,3.65,False,False
05-08-2024 11:00,IHAAS,22.44,23.38,22.4,23.3,504265.0,0.08,0.86,0.02,3483.33,0.86,205359.7,145.55,True,2,22.4,22.4,27.12,False,False
05-08-2024 11:00,GSRAY,7.62,7.75,7.6,7.72,9629212.0,0.03,0.1,0.0,2400.0,0.1,3325062.8,189.59,True,0,,7.52,8.24,False,False
05-08-2024 11:00,TRILC,24.2,25.58,24.1,25.32,2889475.0,0.26,1.12,0.18,508.7,1.12,639866.1,351.57,True,0,,23.08,26.12,False,False
05-08-2024 11:00,ERSU,17.25,19.0,17.25,18.8,1742298.0,0.2,1.55,0.08,1745.24,1.55,432924.6,302.45,True,0,,17.08,19.36,False,False
05-08-2024 11:00,TSPOR,2.31,2.36,2.26,2.35,46378389.0,0.01,0.04,0.01,471.43,0.04,18781003.9,146.94,True,0,,2.21,2.57,False,False
05-08-2024 11:00,TTKOM,47.04,48.92,46.9,48.76,3587184.0,0.16,1.72,0.01,17100.0,1.72,1268023.6,182.9,True,0,,45.4,52.45,False,False
05-08-2024 11:00,ANHYT,105.5,115.7,105.3,115.3,820406.0,0.4,9.8,1.11,782.88,9.8,181506.4,352.0,True,0,,101.1,125.5,False,False
05-08-2024 11:00,SOKM,57.05,58.05,56.85,58.0,2211329.0,0.05,0.95,0.06,1483.33,0.95,827438.4,167.25,True,0,,55.3,61.85,False,False
05-08-2024 11:00,TUKAS,8.9,9.45,8.86,9.3,22615237.0,0.15,0.4,0.05,669.23,0.4,4883856.7,363.06,True,1,9.45,8.59,9.45,False,False
05-08-2024 11:00,IEYHO,7.03,7.56,6.96,7.51,9656956.0,0.05,0.48,0.04,1042.86,0.48,2131423.4,353.08,True,0,,6.93,8.26,False,False
05-08-2024 11:00,GLYHO,15.62,16.17,15.57,16.06,2680896.0,0.11,0.44,0.07,537.68,0.44,642711.2,317.12,True,0,,15.88,16.7,False,False
05-08-2024 11:00,ALKLC,23.5,24.52,23.28,24.24,1842242.0,0.28,0.74,0.06,1221.43,0.74,764493.1,140.98,True,0,,22.56,25.8,False,False
05-08-2024 11:00,AKENR,11.66,12.0,11.62,11.97,3142946.0,0.03,0.31,0.03,811.76,0.31,941790.6,233.72,True,0,,ATL,12.86,False,False
05-08-2024 11:00,ADGYO,33.6,34.54,33.3,34.34,552645.0,0.2,0.74,0.13,478.12,0.74,262263.7,110.72,True,0,,32.84,36.9,False,False
05-08-2024 11:00,BIZIM,36.68,38.5,36.5,38.48,274840.0,0.02,1.8,0.35,414.29,1.8,155896.7,76.3,True,0,,35.66,38.86,False,False
05-08-2024 11:00,ISMEN,36.34,37.48,36.32,37.4,1690131.0,0.08,1.06,0.18,495.51,1.06,761932.8,121.82,True,0,,35.4,39.04,False,False
05-08-2024 11:00,NTGAZ,5.74,5.84,5.58,5.83,1885423.0,0.01,0.09,0.01,1185.71,0.09,821812.0,129.42,True,0,,5.55,6.03,False,False
05-08-2024 11:00,FENER,134.0,140.8,133.8,140.1,832604.0,0.7,6.1,0.49,1144.9,6.1,248903.7,234.51,True,0,,130.0,146.3,False,False
05-08-2024 11:00,DERHL,10.78,11.65,10.57,11.47,2154841.0,0.18,0.69,0.08,784.62,0.69,595394.5,261.92,True,0,,10.17,12.35,False,False
05-08-2024 11:00,YIGIT,43.38,45.48,42.84,44.9,8001510.0,0.58,1.52,0.16,838.27,1.52,2976691.1,168.81,True,0,,42.46,54.3,False,False
05-08-2024 11:00,DCTTR,17.65,20.48,17.63,20.48,11667535.0,0.0,2.83,0.37,664.86,2.83,2989361.8,290.3,True,0,,16.77,ATH,False,False
05-08-2024 11:00,ENKAI,44.4,45.78,43.94,45.78,4910402.0,0.0,1.38,0.12,1089.66,1.38,1761824.5,178.71,True,0,,43.04,47.76,False,False
05-08-2024 10:00,YEOTK,190.9,202.9,190.9,202.3,361080.0,0.6,11.4,0.95,1100.0,11.4,177730.5,103.16,True,0,,188.6,224.8,False,False
05-08-2024 10:00,YKBNK,28.52,29.56,28.5,29.46,10337928.0,0.1,0.94,0.04,2138.1,0.94,6225444.9,66.06,True,2,28.5,28.5,32.32,False,False
05-08-2024 10:00,LMKDC,23.9,25.5,23.9,25.48,1512054.0,0.02,1.58,0.13,1079.1,1.58,921904.0,64.01,True,0,,23.88,28.14,False,False
05-08-2024 10:00,THYAO,271.5,278.25,271.5,276.75,2818452.0,1.5,5.25,0.4,1212.5,5.25,1825514.4,54.39,True,0,,271.25,298.25,False,False
05-08-2024 10:00,GWIND,28.78,29.92,28.78,29.82,711221.0,0.1,1.04,0.04,2500.0,1.04,252811.8,181.32,True,2,28.78,28.78,33.64,False,False
05-08-2024 10:00,HATSN,50.95,53.6,50.95,53.6,364077.0,0.0,2.65,0.27,881.48,2.65,214837.3,69.47,True,2,50.95,50.95,63.1,False,False
05-08-2024 10:00,TCELL,95.1,97.8,95.1,97.75,2317766.0,0.05,2.65,0.04,7471.43,2.65,1384022.9,67.47,True,2,95.1,95.1,110.5,False,False
05-08-2024 10:00,TAVHL,238.0,247.2,238.0,245.8,326558.0,1.4,7.8,0.66,1090.84,7.8,153481.3,112.77,True,0,,237.5,271.0,False,False
05-08-2024 10:00,SNICA,6.27,6.54,6.27,6.5,1495441.0,0.04,0.23,0.02,1337.5,0.23,919829.3,62.58,True,0,,ATL,7.1,False,False
05-08-2024 10:00,SMRTG,45.02,47.34,45.02,47.1,628306.0,0.24,2.08,0.15,1250.65,2.08,334418.7,87.88,True,0,,ATL,56.45,False,False
05-08-2024 10:00,SAYAS,60.0,61.6,59.8,61.25,163931.0,0.35,1.25,0.03,4900.0,1.25,91768.2,78.64,True,0,,ATL,66.2,False,False
05-08-2024 10:00,PGSUS,214.0,222.7,214.0,221.7,915870.0,1.0,7.7,0.92,736.96,7.7,608268.9,50.57,True,0,,213.0,236.1,False,False
05-08-2024 10:00,KFEIN,105.4,110.6,105.4,110.2,267002.0,0.4,4.8,0.09,5233.33,4.8,89221.8,199.26,True,2,105.4,105.4,129.4,False,False
05-08-2024 10:00,NIBAS,15.1,16.12,15.1,16.06,89607.0,0.06,0.96,0.06,1584.21,0.96,57816.7,54.98,True,0,,15.05,17.2,False,False
05-08-2024 10:00,MGROS,493.25,513.5,493.25,511.0,179216.0,2.5,17.75,2.42,631.96,17.75,72475.6,147.28,True,2,493.25,493.25,545.5,False,False
05-08-2024 10:00,TABGD,164.9,172.7,164.9,172.6,133071.0,0.1,7.7,0.37,1981.08,7.7,82364.4,61.56,True,2,164.9,164.9,190.9,False,False
05-08-2024 10:00,ISCTR,13.46,14.0,13.46,13.99,42350871.0,0.01,0.53,0.02,2204.35,0.53,19402046.1,118.28,True,0,,13.39,15.61,False,False
05-08-2024 10:00,DOAS,216.6,227.4,216.6,226.1,203920.0,1.3,9.5,0.72,1219.44,9.5,120596.8,69.09,True,2,216.6,216.6,245.1,False,False
05-08-2024 10:00,ARZUM,48.38,49.66,47.22,49.54,111509.0,0.12,1.16,0.11,994.34,1.16,59247.7,88.21,True,2,47.22,47.22,64.8,False,False
05-08-2024 10:00,ASTOR,84.15,87.5,84.15,87.25,1317839.0,0.25,3.1,0.2,1450.0,3.1,825971.1,59.55,True,0,,ATL,95.4,False,False
05-08-2024 10:00,AKBNK,54.65,57.15,54.65,57.1,7369316.0,0.05,2.45,0.08,3166.67,2.45,4379686.2,68.26,True,2,54.65,54.65,64.85,False,False
05-08-2024 10:00,DMSAS,5.4,5.5,5.36,5.49,518489.0,0.01,0.09,0.0,2150.0,0.09,306596.2,69.11,True,0,,ATL,5.71,False,False
05-08-2024 10:00,DESA,21.62,22.4,21.42,22.4,103910.0,0.0,0.78,0.05,1460.0,0.78,66468.2,56.33,True,0,,ATL,24.76,False,False
05-08-2024 10:00,BIMAS,550.0,566.0,550.0,563.0,394533.0,3.0,13.0,0.35,3614.29,13.0,232599.4,69.62,True,2,550.0,550.0,631.0,False,False
02-08-2024 17:00,TERA,14.16,14.98,14.12,14.79,1659928.0,0.19,0.63,0.06,916.13,0.63,605483.8,174.15,True,0,,13.32,ATH,False,False
02-08-2024 17:00,ANGEN,12.26,12.59,12.17,12.55,468260.0,0.04,0.29,0.03,900.0,0.29,160659.2,191.46,True,0,,11.87,12.61,False,False
02-08-2024 17:00,AVOD,3.35,3.39,3.32,3.39,1477516.0,0.0,0.04,0.01,471.43,0.04,598236.5,146.98,True,1,3.39,3.25,3.52,False,False
02-08-2024 17:00,ULUFA,13.51,13.64,13.41,13.64,410162.0,0.0,0.13,0.0,12900.0,0.13,187421.2,118.85,True,0,,13.6,13.9,True,True
02-08-2024 17:00,BORSK,29.92,30.68,29.8,30.64,1285039.0,0.04,0.72,0.02,4400.0,0.72,459045.9,179.94,True,0,,29.24,31.12,False,False
02-08-2024 17:00,CATES,54.75,56.6,54.0,56.6,699432.0,0.0,1.85,0.0,36900.0,1.85,323518.6,116.2,True,0,,51.5,58.35,False,False
02-08-2024 17:00,MEGAP,7.38,7.56,7.33,7.53,1925598.0,0.03,0.15,0.02,900.0,0.15,1141746.1,68.65,True,1,7.56,7.07,7.56,False,False
02-08-2024 17:00,YYLGD,12.52,12.93,12.38,12.92,5110253.0,0.01,0.4,0.08,376.19,0.4,2068765.3,147.02,True,1,12.93,11.99,12.93,False,False
02-08-2024 17:00,ELITE,30.42,31.48,30.34,31.3,624309.0,0.18,0.88,0.09,900.0,0.88,214169.2,191.5,True,1,31.48,30.02,31.48,False,False
02-08-2024 16:00,ALTIN,26.18,26.25,26.12,26.25,7950096.0,0.0,0.07,0.02,337.5,0.07,4526989.8,75.62,True,0,,24.7,ATH,False,False
02-08-2024 15:00,KLSER,46.96,48.64,46.74,48.28,1053743.0,0.36,1.32,0.08,1509.76,1.32,292004.4,260.87,True,0,,46.5,48.32,False,False
02-08-2024 14:00,KBORU,100.1,107.6,100.0,107.2,1611993.0,0.4,7.1,1.13,525.55,7.1,904582.5,78.2,True,1,107.6,92.0,107.6,False,False
02-08-2024 13:00,SEKUR,12.4,12.99,12.4,12.91,1365060.0,0.08,0.51,0.07,650.0,0.51,355411.3,284.08,True,0,,12.0,14.97,True,False
02-08-2024 12:00,OYLUM,10.37,10.5,10.32,10.47,318220.0,0.03,0.1,0.03,300.0,0.1,184583.2,72.4,True,0,,9.95,10.74,False,False
02-08-2024 12:00,FRIGO,7.71,7.9,7.67,7.87,790204.0,0.03,0.16,0.03,492.59,0.16,224283.6,252.32,True,0,,7.54,8.69,False,False
02-08-2024 12:00,HATEK,13.44,13.63,13.41,13.59,602445.0,0.04,0.15,0.03,368.75,0.15,380732.7,58.23,True,0,,13.19,14.2,False,False
02-08-2024 11:00,IHLAS,1.31,1.32,1.3,1.32,9454047.0,0.0,0.01,0.0,233.33,0.01,4506021.3,109.81,True,0,,1.27,1.33,False,False
02-08-2024 11:00,KLKIM,27.28,28.54,27.16,28.42,1855976.0,0.12,1.14,0.21,448.08,1.14,374887.0,395.08,True,0,,26.2,ATH,False,False
02-08-2024 11:00,AEFES,266.0,268.5,264.75,268.25,512642.0,0.25,2.25,0.45,400.0,2.25,338547.2,51.42,True,0,,262.5,273.0,False,False
02-08-2024 11:00,IHLGM,1.5,1.52,1.49,1.52,10041843.0,0.0,0.02,0.01,300.0,0.02,3615135.8,177.77,True,1,1.52,1.47,1.54,False,False
02-08-2024 10:00,ARTMS,56.8,58.4,56.1,58.25,422576.0,0.15,1.45,0.22,559.09,1.45,158474.7,166.65,True,0,,55.1,ATH,False,False
02-08-2024 10:00,DEVA,70.5,70.95,69.8,70.95,261459.0,0.0,0.45,0.02,1700.0,0.45,93231.9,180.44,True,2,69.8,69.8,71.5,True,False
02-08-2024 10:00,AKSEN,40.98,41.46,40.84,41.36,686733.0,0.1,0.38,0.03,1257.14,0.38,307294.7,123.48,True,0,,40.92,41.96,True,True
02-08-2024 10:00,CEMTS,10.93,11.21,10.4,11.16,3018115.0,0.05,0.23,0.05,379.17,0.23,1146863.4,163.16,True,3,,10.45,ATH,False,False
02-08-2024 10:00,PEKGY,5.96,6.11,5.92,6.1,15545708.0,0.01,0.14,0.02,723.53,0.14,3997728.4,288.86,True,0,,5.87,6.34,False,False
02-08-2024 10:00,PCILT,15.43,15.86,15.3,15.75,597081.0,0.11,0.32,0.03,932.26,0.32,168147.3,255.09,True,0,,14.97,16.0,False,False
02-08-2024 10:00,KARYE,29.66,31.78,29.02,31.44,2791572.0,0.34,1.78,0.21,755.77,1.78,633237.2,340.84,True,3,,28.8,32.22,False,False
02-08-2024 10:00,POLHO,13.43,13.87,13.37,13.76,2819405.0,0.11,0.33,0.04,685.71,0.33,675403.1,317.44,True,2,13.37,13.37,ATH,False,False
02-08-2024 10:00,ULKER,169.6,171.1,168.4,171.0,745058.0,0.1,1.4,0.22,536.36,1.4,336136.7,121.65,True,2,168.4,168.4,172.7,False,False
02-08-2024 10:00,UNLU,16.11,16.5,16.02,16.4,382772.0,0.1,0.29,0.02,1280.95,0.29,99525.8,284.6,True,2,16.02,16.02,16.68,True,False
02-08-2024 10:00,GLRYH,11.45,11.67,11.44,11.65,367122.0,0.02,0.2,0.03,488.24,0.2,168383.0,118.03,True,0,,11.4,11.82,False,False
02-08-2024 10:00,BNTAS,12.35,12.78,12.2,12.72,1074435.0,0.06,0.37,0.06,549.12,0.37,386417.4,178.05,True,1,12.78,12.2,12.78,False,False
02-08-2024 10:00,VESTL,71.5,72.75,71.15,72.75,1060535.0,0.0,1.25,0.18,614.29,1.25,351019.6,202.13,True,0,,70.15,73.15,False,False
02-08-2024 10:00,MZHLD,7.95,8.13,7.88,8.13,282507.0,0.0,0.18,0.03,480.65,0.18,107088.6,163.81,True,0,,7.71,ATH,False,False
02-08-2024 10:00,CANTE,1.84,1.89,1.82,1.88,35632848.0,0.01,0.04,0.01,400.0,0.04,13243679.7,169.06,True,3,,1.81,1.92,False,False
02-08-2024 10:00,AKFYE,24.06,24.5,23.86,24.38,1927539.0,0.12,0.32,0.04,627.27,0.32,564276.8,241.59,True,3,,23.5,24.74,False,False
02-08-2024 10:00,DGATE,37.3,38.6,37.22,38.36,186244.0,0.24,1.06,0.07,1332.43,1.06,93294.6,99.63,True,0,,37.68,41.98,False,False
02-08-2024 10:00,METRO,2.67,2.71,2.66,2.7,1825228.0,0.01,0.03,0.0,500.0,0.03,807350.1,126.08,True,0,,2.59,2.72,False,False
02-08-2024 10:00,ISFIN,13.71,13.83,13.65,13.8,840935.0,0.03,0.09,0.0,2150.0,0.09,487752.8,72.41,True,0,,13.7,13.99,False,False
02-08-2024 10:00,SELVA,13.65,14.44,13.6,14.42,1345996.0,0.02,0.77,0.08,913.16,0.77,356256.2,277.82,True,0,,13.34,ATH,False,False
02-08-2024 10:00,MAGEN,23.74,24.56,22.76,24.42,9696222.0,0.14,0.68,0.1,580.0,0.68,1480320.1,555.01,True,1,24.56,19.8,24.56,False,False
02-08-2024 10:00,SKYMD,11.28,11.76,11.18,11.69,3111170.0,0.07,0.41,0.05,791.3,0.41,624502.2,398.18,True,3,,10.96,ATH,False,False
